title,description,category,sub_category,type,image_link,availability
Henry Link Bali Hai Nightstand FREE SHIPPING - One Vintage Creamy White Faux Bamboo Hollywood Regency Coastal End Table Furniture,"FREE shipping to the 48 contiguous states.

Genuine Henry Link Bali Hai nightstand features faux bamboo, two dovetailed drawers, a durable laminate top and its original creamy white finish. It is in very good vintage condition with scuffs from normal wear and age.

This includes one nightstand and FREE shipping.

•Measures 24"" wide x 16.5"" deep x 25"" high.
•The dovetailed drawers open and close smoothly.
•Includes the original hardware.
•Comes from a smoke free home.
•Also great as end, side or accent table.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING
Shipping is free to the 48 contagious United States.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Nightstands,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_06ac6cc9-6f23-49e1-8f05-2b0266e80591.jpg,in_stock
"Faux Bamboo Dresser by Henry Link Bali Hai 60"" Long - 1970s Vintage Creamy White Hollywood Regency Coastal Chinoiserie Credenza 9 Drawers","Genuine Henry Link Bali Hai dresser features beautiful faux bamboo details, nine dovetailed drawers and its original creamy white finish. It is in good vintage condition with some scuffs from normal wear and age and all of the drawers open and close well. Ready to be enjoyed in its original finish or it makes a great piece to paint or lacquer.

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•Measures 60"" wide x 19.5"" deep x 32.5"" high.
•Drawer interior measurements: six outer drawers are 12"" wide x 5"" high x 14.5"" deep and the three center drawers are 24.5"" wide x 5"" high x 14.5"" deep. 
•Stamped ""Henry Link"" and ""Bali Hai"".
•All nine dovetailed drawers open and close smoothly.
•Includes its original hardware.
•Comes from a smoke free estate home.
•Great as a bedroom bureau, buffet cabinet, sideboard, credenza, media center or as a changing table for a nursery.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING:
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP 
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_f4de352f-2969-484f-b0db-3e4aa5dc2b8d.jpg,in_stock
"French Provincial Dresser by Thomasville 63"" Long - Vintage Carved Wood Louis XV Shabby Chic French Country Style 9 Drawer Credenza","Vintage Thomasville French Provincial style dresser features beautiful carved feet, elegant hardware, nine dovetailed drawers and its original wood finish. It is sturdy and in good vintage condition with some scuffs from normal wear and age. All of the drawers open and close well.

*Shipping is not free. For long-distance shipping, please message me your zip code for a shipping quote. Local pickup is available in Fort Myers, FL.*

•Measures 63.5"" wide x 20"" deep x 32"" high.
•Original vintage dresser made by Thomasville. 
•All 9 dovetailed drawers open and close well.
•Also great as a buffet cabinet, credenza, sideboard, tv stand or sofa table.
•Comes from a smoke free estate home.

I am Elle Woodworth and my husband and I are experts at sourcing vintage treasures. Interested in seeing more? Meet us at our Fort Myers, FL warehouse to see all of our goodies! Call or text me at 239-560-2008 with any furniture questions or to schedule a time to meet.

SHIPPING:
Please message me for a shipping quote. We blanket wrap and carefully secure items for safe delivery to the 48 contiguous United States. We give you shipping updates as your item is being delivered.

LOCAL PICKUP:
We can meet in Fort Myers, FL.

RETURNS:
Cancellations are accepted within 24 hours of purchase. No returns or exchanges are accepted. Please contact me if you have any problems with your order. Upon receiving your item, it is your responsibility to fully inspect the piece before the furniture shipper leaves and contact me immediately if there is an issue. 

We offer unique vintage items that may have imperfections. Please feel free to ask as many questions and request as many pictures as you'd like before ordering. I am happy to help. -Elle",Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_d289d542-3719-44e6-9a26-36036519f60d.jpg,in_stock
Wooden Spindle Leg Accent Table,"Wooden Spindle Leg Accent Table  
 
 
 Height  = 29""h 
 
 Width  = 24""sq 
  
 
  Item Number:  
13761-8  
  Item ID:  
60682  
  Category:  
Accent Tables  ",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_5002d986-732a-4ba8-b8ec-36143ae9cc0f.jpg,in_stock
Ranch Oak Small End Table,"Ranch Oak Small End Table  
 
 
 Brand  = Ranch Oak 
 
 Height  = 20""h 
 
 Depth  = 24""D 
 
 Width  = 18""w 
  
 
  Item Number:  
13773-2  
  Item ID:  
60691  
  Category:  
End Tables  ",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_e2f4d0d9-cd3a-45ae-a945-5b88b36083e4.jpg,in_stock
Ranch Oak Large End Table,"Ranch Oak Large End Table  
 
 
 Brand  = Ranch Oak 
 
 Height  = 20.5"" H 
 
 Depth  = 26""D 
 
 Width  = 21""w 
  
 
  Item Number:  
13773-3  
  Item ID:  
60692  
  Category:  
End Tables  ",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7de54856-a8dc-495d-8b59-823fbb4a901a.jpg,in_stock
Ranch Oak Arm Chair with Beige Cushions,"Ranch Oak Arm Chair with Beige Cushions  
 
 
 Brand  = Ranch Oak 
 
 Height  = 33""H 
 
 Depth  = 30""d 
 
 Width  = 33""W 
  
 
  Item Number:  
13773-1  
  Item ID:  
60690  
  Category:  
Living Room Chairs  ",Seating,Armchairs,Arm Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_09c5ee46-108a-4280-855f-bdc5f12bfee2.jpg,in_stock
Queen Anne Style Oval Coffee Table,"Queen Anne Style Oval Coffee Table  
 
 
 Height  = 17""h 
 
 Depth  = 28""D 
 
 Width  = 46""w 
  
 
  Item Number:  
13761-1  
  Item ID:  
60674  
  Category:  
Coffee Tables  ",Tables & Desks,Tables,Coffee tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_4fe64233-26f1-43d8-b155-5348477b0383.jpg,in_stock
Pulaski Keepsakes Wash Stand with Lighted Cabinet & Mirror,"Pulaski Keepsakes Wash Stand with Lighted Cabinet &amp; Mirror  
 
 
 Brand  = Pulaski 
 
 Depth  = 20""D 
 
 Width  = 33""W 
  
 
  Item Number:  
13761-3  
  Item ID:  
60676  
  Category:  
Cabinets  ","Storage, Decor","Storage & Display Cabinets, Mirrors",Wall Mirrors,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_64000a19-f7ad-4c08-9084-895b54d4336a.jpg,in_stock
Pottery Barn Silver Clock On Easel,"Pottery Barn Silver Clock On Easel   
 
 
 Width  = 4""w 
 
 Height  = 6""h 
 
 Length  = 4""d 
  
 
  Item Number:  
205-269  
  Item ID:  
60686  
  Category:  
Table Clocks  ",Decor,Decorative Accessories,Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6bf388e5-cae5-4794-82f0-f41999deddcd.jpg,in_stock
Original Cabin And Woods Painting In Black Wooden Frame,"Original Cabin And Woods Painting In Black Wooden Frame  
 
 
 Length  = 15""L 
 
 Width  = 12""W 
  
 
  Item Number:  
297-372  
  Item ID:  
60681  
  Category:  
Framed Wall Art  ",Decor,Wall Art,Paintings,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_0b9d98fb-5c4e-4c3f-900a-4ec32de659f5.jpg,in_stock
Mersman Round Mid Century Modern Accent Table with Gold Accent,"Mersman Round Mid Century Modern Accent Table with Gold Accent  
 
 
 Brand  = Mersman 
 
 Height  = 25""H 
 
 Depth  = 23.5""R 
  
 
  Item Number:  
13761-5  
  Item ID:  
60678  
  Category:  
Accent Tables  ",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_dc963087-9c75-40d7-ba92-f7b5eba29c86.jpg,in_stock
KU Kansas University Basketball Print In Frame,"KU Kansas University Basketball Print In Frame  
 
 
 Length  = 12""H 
 
 Width  = 10""W 
  
 
  Item Number:  
205-270  
  Item ID:  
60687  
  Category:  
Framed Wall Art  ",Decor,Wall Art,Paintings,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_d0303210-6026-4852-a9d2-ce1a7b51ec17.jpg,in_stock
Hammered Copper Cauldron Accent Table,"Hammered Copper Cauldron Accent Table  
 
 
 Height  = 22.5""h 
 
 Width  = 24""R 
  
 
  Item Number:  
254-988  
  Item ID:  
60672  
  Category:  
Accent Tables  ",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_1e139391-fdc6-4558-90b5-63c9c25e6d72.jpg,in_stock
Grey And Brown Geometric Ceramic Lamp,"Grey And Brown Geometric Ceramic Lamp  
 
 
 Height  = 33""H 
 
 Width  = 16""W 
  
 
  Item Number:  
205-271  
  Item ID:  
60688  
  Category:  
Table Lamp  ",Lighting,Table Lamps,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7642cc0f-f8da-41cf-a240-d91a5251960f.jpg,in_stock
Dual Bulb Brown Ribbed Column Lamp With Silk Shade,"Dual Bulb Brown Ribbed Column Lamp With Silk Shade  
 
 
 Height  = 30""h 
 
 Width  = 18""w 
  
 
  Item Number:  
1496-19  
  Item ID:  
60668  
  Category:  
Table Lamp  ",Lighting,Table Lamps,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ce220dff-d123-4a00-af89-7190354ac881.jpg,in_stock
Dark Wood Butterfly Extension Leaf Dining Table,"Dark Wood Butterfly Extension Leaf Dining Table  
 
 
 Height  = 30""h 
 
 Depth  = 36""d 
 
 Width  = 56""w 
  
 
  Item Number:  
13761-9  
  Item ID:  
60683  
  Category:  
Tables  ",Tables & Desks,Tables,Dining tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_14f87643-96c7-47c5-84ca-c1b61671550d.jpg,in_stock
Chinese Ceramic Vase With Fruit And Insects,"Chinese Ceramic Vase With Fruit And Insects  
 
 
 Width  = 8""r 
 
 Height  = 15""h 
  
 
  Item Number:  
254-987  
  Item ID:  
60671  
  Category:  
Vase  ",Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_957d17cc-c913-4a67-b2e9-e1ff8f13da25.jpg,in_stock
Black Modern Ceramic Vase,"Black Modern Ceramic Vase  
 
 
 Width  = 9""w 
 
 Height  = 10""h 
  
 
  Item Number:  
254-986  
  Item ID:  
60670  
  Category:  
Vase  ",Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_021cd785-3f7a-4409-b3b8-9afe4ece0d32.jpg,in_stock
3 Drawer Wooden Sofa Table with Gold Pull Handles,"3 Drawer Wooden Sofa Table with Gold Pull Handles  
 
 
 Height  = 30""h 
 
 Depth  = 16""D 
 
 Width  = 47.5""w 
  
 
  Item Number:  
13761-2  
  Item ID:  
60675  
  Category:  
Sofa Tables  ",Tables & Desks,Tables,Console tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_0a0ddacf-0858-4416-a91b-7048dc664ba0.jpg,in_stock
Restoration Hardware Soho Tufted Leather Club Chair,"Description: The SoHo club chair by Restoration Hardware features a low seat, plush padding, and allover button tufting, and recalls the classic Chesterfield plush seating for London's turn-of-the-century gentlemen's clubs.. Brand: Restoration Hardware. Model: Soho .   Seat heigt: 15.  Gently used - any blemishes or damage will be included in the photos. #SKU: 3002084. Tags: staff-favorites,transitional,wood,leather,contemporary",Seating,Armchairs,Club Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_45ec94a7-0aa9-4c2a-a8da-bfa1143bd55a.jpg,in_stock
Modway Jive High Back Task Chair,"Description: The Jive high back office chair from Modway is upholstered in white vinyl with ribbed stitching and a chrome aluminum frame with a 360? swivel, one-touch height adjustment, and five dual wheel casters for easy mobility.. Brand: Modway. Model: Jive.   Seat heigt: 18. Retail price: $270. Gently used - any blemishes or damage will be included in the photos. #SKU: 3002080. Tags: transitional,modern,aluminum,metal,plastic,pleather",Seating,Chairs,Office Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_f3ca3870-74ce-4104-86f6-a3929a40ef33.jpg,in_stock
Pottery Barn SlipcoverLoveseat,"Description: Gray Fabric Slipcover Loveseat With Track Arms And T Back Cushion. Brand: Pottery Barn.    Seat heigt: 19.  Gently used - any blemishes or damage will be included in the photos. #SKU: 3002073. Tags: transitional,fabric",Seating,Sofas,"Loveseats, Sofas",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_dd561a16-506d-45ed-9d1d-57283f352746.jpg,in_stock
Outdoor Aluminum Armchair,"Description: Classic Armchair With Circle Detailing Recently Powder Coated .   Material: metal.    Gently used - any blemishes or damage will be included in the photos. #SKU: 3002017. Tags: metal,classic",Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_e67c207e-da6d-4597-85c7-7318a2fbe1a6.jpg,in_stock
Jarvis Fully Sit Stand Adjustable Desk ,"Description: Bamboo Top Desk On White Steel Frame With Motorized Height Adjustment. Brand: Jarvis.      Gently used - any blemishes or damage will be included in the photos. #SKU: 1061443. Tags: modern,metal,bamboo",Tables & Desks,Desks,Desks,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_03b750bd-7f54-4b44-9cfb-0c53d3d5c377.jpg,in_stock
